고사 일자,대학명,모집 및 세부 학과,고사 시간,언어논술 제시문 및 답안 유형,수리논술 범위 및 난이도,수능 최저학력기준,전형 비율 (논술:교과:비교과),수리가중치
11.29.(일),가천대,의·한·약학,80분,약술형(국0 / 수8),미+서술,"의:3합 3 /한:2합 2 /약:3합 5(미,기) ",100:-:-,1
11.30.(월),가천대,"간호, 바이오로직스 등",80분,약술형(국8 / 수5),"수Ⅰ, 수Ⅱ",1개 3 / 바이오 2합 5,100:-:-,0
11.30.(월),가천대,인문,80분,약술형(국8 / 수5),"수Ⅰ, 수Ⅱ",1개 3,100:-:-,0
12.01.(화),가천대,자연,80분,약술형(국5 / 수8),"수Ⅰ, 수Ⅱ",1개 3,100:-:-,0
10.11.(일),가톨릭대,자연 / 간호,10:00~11:30 (09:30 입실),정보 없음,미,3합7(간호),100 : - : -,1
10.11.(일),가톨릭대,인문,15:00~16:30 (14:30 입실),단문형 (2~500자),해당 없음,없음,100 : - : -,0
11.22.(일),가톨릭대,의예과 / 약학과,10:00~11:40 (09:30 입실),정보 없음,"미, 확(중상)","4합 5(의예), 탐구 2평",100 : - : -,3
11.28.(토),강남대,자연,60분,약술형(국3 / 수7),"수Ⅰ, 수Ⅱ",없음,,0
11.28.(토),강남대,자유전공학부,60분,약술형(국5 / 수5),"수Ⅰ, 수Ⅱ",없음,,0
11.28.(토),강남대,인문·사회,60분,약술형(국8 / 수2),"수Ⅰ, 수Ⅱ",없음,,0
11.21.(토),건국대,인문·통합,09:20~11:00,"수리형, 중문형 (6~800자)",해당 없음,"2~3합 5, 탐구(1) , 한국사 5",100 : - : -,0
11.21.(토),건국대,수의예과,14:00~15:40,정보 없음,"미, 확, 기(중상)"," 3합 4, 탐구(1) , 한국사 5",100:-:-,4
11.21.(토),건국대,자연,14:00~15:40,정보 없음,"미, 확, 기(중상)"," 2합 5, 탐구(1) , 한국사 5",100:-:-,4
11.27.(금),경기대,인문,100분,중문형(6~800),정보 없음,"없음, 수원실시",90:10:-,0
11.27.(금),경기대,자연,100분,해당 없음,"수Ⅰ, 수Ⅱ","없음, 수원실시",90:10:-,0
11.28.(토),경북대,인문,09:30~11:10,"통계, 단문형 (2~500자)",해당 없음," 2합 5~6, 탐구(1) ",70:30:-,0
11.28.(토),경북대,자연 Ⅰ / Ⅱ,15:30 / 16:30 시작,정보 없음,"미, 확(중상), 기(상)"," 2합 5~6, 탐구(1) ",70:30:-,6
11.28.(토),경북대,"의예, 치의예, 수의예",16:30~18:10,정보 없음,"미, 확(중상), 기(상)"," 합 5, 탐구(1) ",70:30:-,6
11.21.(토),경희대,인문·체육,09:00~11:00,중문형 (6~800자),해당 없음," 2합 5, 탐구(1) , 한국사 5",100:-:-,0
11.21.(토),경희대,"의예, 치의예, 한의예(자), 약학",15:00~17:00,정보 없음,"미, 확(상), 기(중)"," 2합 5, 탐구(1) , 한국사 5",100:-:-,5
11.22.(일),경희대,자연,09:00~11:00,정보 없음,"미, 확, 기(중상)"," 2합 5, 탐구(1) , 한국사 5",100:-:-,4
11.22.(일),경희대,한의예과(인문) / 사회,15:00~17:00,"통계+수리, 중문형 (6~800자)",해당 없음," 2합 5, 탐구(1) , 한국사 5",100:-:-,0
11.21.(토),고려대,"자연 오전조 (데이터과학, 물리학 등)",08:30 입실 완료,정보 없음,"미, 확(중상), 기(상)","4합 8, 한국사4",100:-:-,6
11.21.(토),고려대,"자연 오후조 (기공학, 전기전자 등)",12:30 입실 완료,정보 없음,"미, 확(중상), 기(상)","4합 8, 한국사4",100:-:-,6
11.22.(일),고려대,"인문 오전조 (경영, 국문, 사학 등)",08:30 입실 완료,"통계, 중문형 (6~800자)",해당 없음,"4합 8, 한국사4",100:-:-,0
11.22.(일),고려대,"인문 오후조 (경제, 교육, 미디어 등)",12:30 입실 완료,"통계, 중문형 (6~800자)",해당 없음,"4합 8, 한국사4",100:-:-,0
11.28.(토),고려대(세종),인문,09:40분 입실 120분,중문형 (6~800자),해당 없음,2합 6,100:-:-,0
11.28.(토),고려대(세종),자연,09:40분 입실 90분,약술형 (국0 / 수6+sub),"수Ⅰ, II",2합 6,100:-:-,0
11.28.(토),고려대(세종),약학과,14:30 입실,정보 없음,"미, 기","3합 5 탐구 2평, 2028폐지",100:-:-,2
11.28.(토),광운대,자연,고사 3일전 공고,정보 없음,"미, 확(중)",없음,80 : 20 : -,2
11.29.(일),광운대,인문,고사 3일전 공고,"통계, 중문형 / 단문형",해당 없음,없음,80 : 20 : -,0
12.05.(토),국민대,인문,90분,약술형(국8 / 수2),"수Ⅰ, 수Ⅱ",2개 영역 합 6,100:-:-,0
12.06.(일),국민대,자연,90분,약술형(국2 / 수8),미,2개 영역 합 6,100:-:-,1
10.17.(토),단국대(죽전),자연 (오전 조),09:30~11:30,정보 없음,미,없음,90 : 10 : -,1
10.17.(토),단국대(죽전),자연 (오후 조),15:00~17:00,정보 없음,미,없음,90 : 10 : -,1
10.18.(일),단국대(죽전),인문 (오전 조),09:30~11:30,"통계, 장문형 (800자 이상)",해당 없음,없음,90 : 10 : -,0
10.18.(일),단국대(죽전),인문 (오후 조),15:00~17:00,"통계, 장문형 (800자 이상)",해당 없음,없음,90 : 10 : -,0
11.29.(일),덕성여대,자연,오전,정보 없음,"미, 확, 기",2합 7,100:-:-,3
11.29.(일),덕성여대,인문,오후,단문형 (2~500자),정보 없음,2합 7,100:-:-,0
11.29.(일),덕성여대,약학,오후,정보 없음,"미, 확, 기","3합 5(수, 영 or 사)",100:-:-,3
11.22.(일),동국대,자연,09:30~11:00,정보 없음,"미, 확(중)",2합 5 수 or 과 ,70:20:10,2
11.22.(일),동국대,약학과,09:30~11:00,정보 없음,"미, 확(중)",3합 4 수 or 과 ,70:20:10,2
11.22.(일),동국대,"인문 Ⅰ(사회,경영_",13:00~14:40,단문형 (2~500자),해당 없음,2합 5,70:20:10,0
11.22.(일),동국대,인문 Ⅱ(그외),16:30~18:10,단문형 (2~500자),해당 없음,2합 5(경찰 2합4),70:20:10,0
11.28.(토),동덕여대,자연,60분,약술형(국2 / 수6),"수Ⅰ, 수Ⅱ",2개 영역 합 6,,0
11.28.(토),동덕여대,인문,60분,약술형(국6 / 수2),"수Ⅰ, 수Ⅱ",2개 영역 합 6,,0
11.28.(토),부산대,인문·자연·의약,정보 없음,정보 없음,"미, 기",(학과별 상이),70:30:-,2
11.23.(월)~24(화),삼육대,자연 (일반),80분,약술형(국5 / 수8),"수Ⅰ, 수Ⅱ",1개 영역 3,100:-:-,0
11.23.(월)~24(화),삼육대,자연 (약학),80분,약술형(국5 / 수8),미,3개 영역 합 5,정보 없음,1
11.23.(월)~24(화),삼육대,인문,80분,약술형(국8 / 수5),"수Ⅰ, 수Ⅱ",1개 영역 3,100:-:-,0
10.30.(금),상명대,인문,60분,약술형(국8 / 수2),"수Ⅰ, 수Ⅱ",없음,90:10:-,0
10.31.(토),상명대,자연 (애니메이션),60분,약술형(국2 / 수8),"수Ⅰ, 수Ⅱ",없음,90:10:-,0
11.21.(토),서강대,자연 1,16:00~17:40,정보 없음,"미, 확, 기(중상)","3합 7, 탐구(1), 한국사 4",80 : 10 : 10,4
11.21.(토),서강대,자연 2,19:00~20:40,정보 없음,"미, 확, 기(중상)","3합 7, 탐구(1), 한국사 4",80 : 10 : 10,4
11.22.(일),서강대,인문 1,16:00~17:40,"통계, 장문형 (800자 이상)",해당 없음,"3합 7, 탐구(1), 한국사 4",80 : 10 : 10,0
11.22.(일),서강대,인문 2,19:00~20:40,"통계, 장문형 (800자 이상)",해당 없음,"3합 7, 탐구(1), 한국사 4",80 : 10 : 10,0
11.01.(일),서경대,인문·자연 공통,60분,약술형(국4 / 수4),"수Ⅰ, 수Ⅱ",없음,,0
11.23.(월),서울과기대,자연,정보 없음,정보 없음,미,없음,70:30:-,1
10.03.(토),서울시립대,자연,10:00 (120분),정보 없음,"미, 확(중상), 기(중)","3합 8, 탐구(1) ",80:20:-,4
11.21.(토),서울여대,인문·자연,정보 없음,정보 없음,정보 없음,없음,정보 없음,0
11.21.(토),성균관대,"언어형 1 (자유전공, 공학 등)",08:30~10:10 (08:00 입실),"통계, 자유형",해당 없음,"3합5(자유전공), 3합6(공학)",100:-:-,0
11.21.(토),성균관대,"언어형 2 (경영, 자연과학 등)",13:00~14:40 (12:30 입실),"통계, 자유형",해당 없음,"3합6, 탐구 2평",100:-:-,0
11.22.(일),성균관대,"수리형 1 (경영, 반도체, 컴퓨터 등)",08:30~10:10 (08:00 입실),수리형,"수Ⅰ, 수Ⅱ","3합 6(경영), 3합 5",100:-:-,0
11.22.(일),성균관대,"수리형 2 (공학, 자연과학)",13:00~14:40 (12:30 입실),수리형,"수Ⅰ, 수Ⅱ","3합 6, 탐구 2평",100:-:-,0
11.22.(일),성균관대,"수리형 3 (글로벌경제, 의예, 약학 등)",17:00~18:40 (16:30 입실),수리형,"수Ⅰ, 수Ⅱ","4합 5(의예), 탐구 2평",100:-:-,0
10.03.(토),성신여대,자연,정보 없음,정보 없음,미,2합 7,100:-:-,1
10.04.(일),성신여대,인문,정보 없음,정보 없음,해당 없음,2합 7,100:-:-,0
11.28.(토),세종대,인문 전체,09:00~11:00,중문형 (6~800자),해당 없음,3합 10,100:-:-,0
11.28.(토),세종대,인문(자유전공학부),14:00~16:00,"수리형, 중문형/자유형",미,3합 10,100:-:-,1
11.29.(일),세종대,자연 (인공지능융합),09:00~11:00,정보 없음,미,3합 10,100:-:-,1
11.29.(일),세종대,자연 (자연·생명·공과),14:00~16:00,정보 없음,미,3합 10,100:-:-,1
11.21.(토),수원대,자연,80분,약술형(국5 / 수10),"수Ⅰ, 수Ⅱ",없음,100:-:-,0
11.22.(일),수원대,인문,80분,약술형(국10 / 수5),"수Ⅰ, 수Ⅱ",없음,100:-:-,0
11.21.(토),숙명여대,약학부,7월 중 상세 공지,정보 없음,미," 3합 5(수학 포함), 탐구(1) ",90:10:-,1
11.21.(토),숙명여대,자연 (의류 제외),7월 중 상세 공지,정보 없음,미,국·수·영·탐(1) 중 2합5,90:10:-,1
11.21.(토),숙명여대,인문 / 의류학과,7월 중 상세 공지,"통계, 중문형 (6~800자)",해당 없음,국·수·영·탐(1) 중 2합5,90:10:-,0
11.21.(토),숭실대,자연 (1),10:00~11:40 (09:30 입실),정보 없음,미," 2합 6, 탐구(1) , 수학(미/기)",90 : 10 : -,1
11.21.(토),숭실대,인문·경상 (2),15:00~16:40 (14:30 입실),"통계+수리, 중문형 (6~800자)",해당 없음," 2합 6, 탐구(1) ",90 : 10 : -,0
11.29.(일),신한대,인문·자연 공통,80분,약술형(국7 / 수7),"수Ⅰ, 수Ⅱ",없음,,0
12.05.(토),아주대,의학과,19:00,정보 없음,미,"4합 6, 탐구 2평",80:20:-,1
12.05.(토),아주대,공과/자연,09:00 시작,정보 없음,미,없음,80:20:-,1
12.05.(토),아주대,첨단ICT/소프트웨어,14:00 시작,정보 없음,미,없음,80:20:-,1
12.06.(일),아주대,경영/인문/사회/자유전공(인문),9:00,단문형 (2~500자),해당 없음,없음,80:20:-,0
12.06.(일),아주대,약학과,14:00,정보 없음,미,"3합 5, 탐구1",80:20:-,1
10.10.(토),연세대,자연·통합,10:30~12:30,정보 없음,"미, 확(상), 기(중상)",없음,100:-:-,6
10.10.(토),연세대,"의예과, 약학과",10:30~12:30,통계+영어+수리,"미, 확(상), 기(중상)",없음,100:-:-,6
10.10.(토),연세대,인문,15:30~17:30,"통계+영어+수리, 중문형 (6~800자)",해당 없음,없음,100:-:-,0
10.16.(금),연세대(미래),인문,정보 없음,정보 없음,해당 없음,없음,100:-:-,0
10.16.(금),연세대(미래),자연,정보 없음,정보 없음,"미, 확, 기",없음 (의예 3합 5),100:-:-,3
10.16.(금),을지대,간호대학 / 전체 학부,70분,약술형(국7 / 수7),"수Ⅰ, 수Ⅱ",없음 (간호 2합 7),80:20:-,0
10.17.(토),을지대,보건과학 / 사배자 전형,70분,약술형(국7 / 수7),"수Ⅰ, 수Ⅱ",없음,80:20:-,0
11.28.(토),이화여대,인문 Ⅰ,08:30~12:10,"영어 , 중문형/자유형",해당 없음,"2합 5, 탐구(1) ",100:-:-,0
11.28.(토),이화여대,인문 Ⅱ,14:20~18:00,"수리형, 중문형/자유형",해당 없음,"2합 5, 탐구(1) ",100:-:-,0
11.29.(일),이화여대,자연 Ⅰ,08:30 시작,정보 없음,"미, 확(중) 27모의, 기(중상)","2합 5, 탐구(1) ",100:-:-,4
11.29.(일),이화여대,자연 Ⅱ(의예과 약학전공),14:20 시작,정보 없음,"미, 확(중상) 27모의, 기(중상)",의 4합 5 / 약 4합 6,100:-:-,5
12.05.(토),인하대,인문 학과,입학처 홈페이지 공지,"통계, 장문형 (800자 이상)",해당 없음,없음,80 : 20 : -,0
12.06.(일),인하대,의예과,입학처 홈페이지 공지,정보 없음,미,3합 3,80 : 20 : -,1
12.06.(일),인하대,자연 학과,입학처 홈페이지 공지,정보 없음,미,없음,80 : 20 : -,1
10.11.(일),중앙대,(창의형) 인문,10:00~12:00,중문형 (6~800자),해당 없음,없음,70 : 20 : 10,0
10.11.(일),중앙대,(창의형) 의·약,14:00~16:00,정보 없음,"미, 확(중상), 기(중상)",없음,70 : 20 : 10,5
10.11.(일),중앙대,(창의형) 자연,14:00~16:00,정보 없음,"미, 확(중상), 기(중상)",없음,70 : 20 : 10,5
11.28.(토),중앙대,(일반형) 자연,10:00 시작,정보 없음,"미, 확(중상), 기(중상)","3합 7, 탐구(1) 영어 2~1",70 : 20 : 10,5
11.28.(토),중앙대,(일반형) 의·약학부,14:00 시작,정보 없음,"미, 확(중상), 기(중상)",4합 5(의: 탐구 2평/ 약: 탐구1),70 : 20 : 10,5
11.29.(일),중앙대,(일반형) 인문 (1),10:00 시작,중문형 (6~800자),해당 없음,"3합 7, 탐구(1) ",70 : 20 : 10,0
11.29.(일),중앙대,(일반형) 인문 (2),14:00 시작,중문형 (6~800자),해당 없음,"3합 7, 탐구(1) ",70 : 20 : 10,0
11.22.(일),한국공학대,인문·자연 공통,80분,약술형(국0 / 수9),"수Ⅰ, 수Ⅱ",없음,80 : 20 : -,0
11.25.(수),한국기술교육대,공학(ICT) ,80분,약술형(국0 / 수10),"수Ⅰ, 수Ⅱ",없음,100 : - : -,0
11.25.(수),한국기술교육대,사회,80분,약술형(국11 / 수0),사회,없음,100 : - : -,0
11.28.(토),한국외대,인문/사회/자유 (T1),10:00~11:30,"영어 , 단문형 (2~500자)",해당 없음,"2합 4, 탐구(1) ",100 : - : -,0
11.28.(토),한국외대,사회/글로벌 경상 (T2),15:00~16:30,"통계, 단문형 (2~500자)","수Ⅰ, 수Ⅱ",서울 2합 4 / 글로벌 2합 6,100 : - : -,0
11.29.(일),한국외대,인문/사범/글로벌 인문 (T3),10:00~11:30,"영어 , 단문형 (2~500자)",해당 없음,서울 2합 4 / 글로벌 2합 6,100 : - : -,0
11.29.(일),한국외대,경영·AI/글로벌 자연·공학 (T4),15:00~16:30,해당 없음,"수Ⅰ, 수Ⅱ",서울 2합 4 / 글로벌 2합 6,100 : - : -,0
11.21.(토),한국항공대,인문·자연,정보 없음,정보 없음,미,2합 6,100:-:-,1
12.05.(토),한신대,인문,80분,약술형(국10 / 수5),"수Ⅰ, 수Ⅱ",없음,100:-:-,0
12.05.(토),한신대,자연,80분,약술형(국5 / 수10),"수Ⅰ, 수Ⅱ",없음,100:-:-,0
11.28.(토),한양대,상경 (오전),09:30~11:00,"수리형, 자유형, 장문형 (800자 이상)",해당 없음,"3합 7, 국/수",100:-:-,0
11.28.(토),한양대,인문 (오후 1),13:30 시작,장문형 (800자 이상),해당 없음,"3합 7, 국/수",100:-:-,0
11.28.(토),한양대,인문 (오후 2),17:00 시작,장문형 (800자 이상),해당 없음,"3합 7, 국/수",100:-:-,0
11.29.(일),한양대,자연 (오전),9:30,정보 없음,"미, 확(중), 기(상)","3합 7, 국/수",100:-:-,5
11.29.(일),한양대,자연 (오후 1),13:30,정보 없음,"미, 확(중), 기(상)","3합 7, 국/수",100:-:-,5
11.29.(일),한양대,의예과 (오후 2),17:00~18:30,정보 없음,"미, 확(중상), 기(상)","3합 7, 국/수",100:-:-,6
11.29.(일),한양대,자연 (오후 2),17:00~18:30,정보 없음,"미, 확(중상), 기(상)","3합 7, 국/수",100:-:-,6
10.03.(토),홍익대(서울),자연 캠퍼스자율전공(자연·예능),120분 (고사 3일전 확인),정보 없음,"미, 확(중), 기(중)","2합 5, 탐구(1) ",90 : 10 : -,3
10.04.(일),홍익대(서울),인문 예술학과 / 캠퍼스자율전공(인문),120분 (고사 3일전 확인),장문형 (800자 이상),해당 없음,"2합 5, 탐구(1) ",90 : 10 : -,0
11.22.(일),홍익대[세종],자연,70분,약술형(국0 / 수7),"수Ⅰ, 수Ⅱ",1개 영역 4,90 : 10 : -,0
11.22.(일),홍익대[세종],인문,70분,약술형(국30 / 수0),사회,1개 영역 4,90 : 10 : -,0